annee_numero_de_tirage;date_de_tirage;boule_1;boule_2;boule_3;boule_4;boule_5;numero_chance
20222142;2022-11-26;5;7;28;23;2;5
20222140;2022-11-21;45;33;47;15;23;7
20222137;2022-11-14;28;23;34;44;14;5
20222129;2022-10-26;45;30;4;2;23;5
20222128;2022-10-24;43;28;33;37;29;1
20222120;2022-05-10;32;23;39;35;14;7
20222119;2022-03-10;20;40;31;7;23;1
20222112;2022-09-17;12;17;1;20;3;3
20222111;2022-09-14;40;10;38;26;45;1
20222110;2022-12-09;4;49;20;7;21;10
20222109;2022-10-09;25;3;8;49;24;5
20222106;2022-03-09;35;24;44;38;32;6
20222097;2022-08-13;17;38;37;11;39;2
20222095;2022-08-08;41;22;3;37;40;2
20222093;2022-03-08;45;10;5;40;32;5
20222092;2022-01-08;38;1;4;23;30;6
20222091;2022-07-30;14;21;24;2;38;6
20222089;2022-07-25;26;42;13;7;24;2
20222088;2022-07-23;15;47;39;25;41;9
20222087;2022-07-20;29;21;31;47;17;4
20222085;2022-07-16;3;33;4;49;14;3
20222081;2022-06-07;43;16;10;25;44;4
20222076;2022-06-25;2;47;40;31;49;9
20222075;2022-06-22;17;40;10;27;23;2
20222073;2022-06-18;31;1;12;32;28;9
20222072;2022-06-15;11;37;44;13;21;6
20222071;2022-06-13;44;45;46;43;31;10
20222068;2022-06-06;20;5;22;23;18;5
20222143;2022-11-28;24;46;9;2;13;6
20222067;2022-04-06;9;23;17;42;6;5
20222139;2022-11-19;40;24;19;1;28;8
20222066;2022-01-06;33;4;35;22;2;7
20222135;2022-09-11;15;2;1;41;30;9
20222062;2022-05-23;30;26;48;41;47;6
20222134;2022-07-11;24;8;9;40;31;7
20222061;2022-05-21;1;12;41;7;21;4
20222132;2022-02-11;45;7;38;4;26;2
20222055;2022-07-05;23;37;38;7;15;3
20222127;2022-10-22;12;2;25;35;7;10
20222053;2022-02-05;46;20;13;47;8;7
20222126;2022-10-19;35;16;38;46;25;8
20222048;2022-04-20;45;46;4;13;33;7
20222124;2022-10-15;31;16;27;24;46;1
20222047;2022-04-18;10;39;33;9;47;5
20222122;2022-10-10;19;40;32;13;46;7
20222044;2022-11-04;32;3;22;18;17;10
20222121;2022-08-10;17;20;48;16;34;7
20222043;2022-09-04;3;15;13;29;40;10
20222118;2022-01-10;8;7;35;36;26;2
20222035;2022-03-21;10;26;46;35;5;9
20222117;2022-09-28;12;39;26;14;29;10
20222031;2022-12-03;16;47;33;21;5;5
20222116;2022-09-26;29;49;35;18;39;1
20222030;2022-09-03;32;8;21;41;25;4
20222115;2022-09-24;25;6;32;7;4;10
20222029;2022-07-03;8;27;29;15;41;4
20222114;2022-09-21;3;12;22;9;37;10
20222027;2022-02-03;46;4;3;43;22;6
20222113;2022-09-19;5;7;44;15;33;1
20222023;2022-02-21;2;6;10;32;17;5
20222103;2022-08-27;32;39;22;11;34;3
20222021;2022-02-16;22;24;41;21;32;2
20222101;2022-08-22;39;46;2;9;44;9
20222019;2022-12-02;45;22;28;40;37;10
20222099;2022-08-17;16;5;14;29;17;3
20222017;2022-07-02;37;15;18;31;46;3
20222096;2022-10-08;15;35;11;28;9;2
20222014;2022-01-31;25;32;31;36;10;8
20222094;2022-06-08;37;28;23;38;6;1
20222012;2022-01-26;14;16;33;38;45;10
20222080;2022-04-07;18;20;4;12;26;8
20222009;2022-01-19;44;27;41;8;43;6
20222077;2022-06-27;34;31;36;24;37;1
20222007;2022-01-15;19;10;30;13;47;8
20222069;2022-08-06;38;33;39;27;26;5
20222006;2022-12-01;23;20;1;26;44;4
20222060;2022-05-18;14;23;22;45;36;7
20211155;2021-12-27;32;20;6;12;14;8
20222059;2022-05-16;21;33;4;14;32;1
20211154;2021-12-25;6;25;48;21;37;10
20222056;2022-09-05;6;33;7;9;15;2
20211151;2021-12-18;10;46;2;31;38;8
20222051;2022-04-27;8;13;1;43;31;10
20211149;2021-12-13;23;38;36;18;19;1
20222046;2022-04-16;4;41;30;27;21;6
20211148;2021-11-12;16;45;34;42;26;9
20222045;2022-04-13;36;29;44;46;35;8
20211146;2021-06-12;29;16;36;7;15;6
20222042;2022-06-04;6;20;48;12;38;7
20211145;2021-04-12;23;18;34;5;44;5
20222040;2022-02-04;15;6;11;28;24;10
20211139;2021-11-20;44;9;18;17;42;8
20222039;2022-03-30;12;34;16;26;10;7
20211134;2021-08-11;44;32;11;48;7;3
20222038;2022-03-28;16;48;21;5;26;10
20211129;2021-10-27;41;16;44;27;15;9
20222037;2022-03-26;40;10;37;34;12;5
20211128;2021-10-25;31;48;43;37;3;10
20222036;2022-03-23;20;2;29;39;18;10
20211123;2021-10-13;21;20;19;43;49;10
20222034;2022-03-19;44;38;33;49;41;7
20211122;2021-11-10;26;7;1;9;28;3
20222026;2022-02-28;43;9;21;36;27;2
20211121;2021-09-10;22;29;19;15;34;3
20222022;2022-02-19;32;24;49;39;40;1
20211117;2021-09-29;6;39;28;13;33;10
20222020;2022-02-14;26;13;29;15;20;5
20211116;2021-09-27;12;26;31;40;37;3
20222018;2022-09-02;44;48;31;46;21;1
20211115;2021-09-25;20;35;49;18;16;1
20222016;2022-05-02;48;31;24;11;38;9
20211108;2021-08-09;7;34;27;12;15;4
20222015;2022-02-02;11;37;49;28;40;4
20211106;2021-04-09;41;49;30;45;35;3
20222013;2022-01-29;42;29;25;46;8;9
20211105;2021-01-09;49;27;32;24;17;7
20222011;2022-01-24;15;38;7;4;40;2
20211104;2021-08-30;32;34;18;44;3;9
20222005;2022-10-01;14;43;34;41;35;9
20211091;2021-07-31;22;6;46;7;17;3
20211152;2021-12-20;22;23;12;47;25;1
20211090;2021-07-28;1;28;3;29;8;6
20211141;2021-11-24;14;34;39;24;47;8
20211085;2021-07-17;31;8;47;11;17;6
20211140;2021-11-22;19;12;8;41;16;5
20211084;2021-07-14;36;18;38;31;29;10
20211138;2021-11-17;37;40;36;4;43;6
20211082;2021-10-07;43;3;38;42;46;1
20211137;2021-11-15;34;7;8;41;42;8
20211081;2021-07-07;37;18;8;44;46;2
20211136;2021-11-13;39;13;12;31;26;6
20211076;2021-06-26;37;24;38;13;45;6
20211135;2021-10-11;31;12;9;40;41;2
20222144;2022-11-30;44;18;28;49;30;5
20211075;2021-06-23;1;16;6;3;40;1
20211133;2021-06-11;19;2;18;22;4;3
20222141;2022-11-23;46;36;45;15;19;4
20211071;2021-06-14;40;12;47;21;19;7
20211131;2021-01-11;47;27;26;43;1;6
20222138;2022-11-16;1;8;48;38;3;1
20211065;2021-05-31;25;3;13;32;47;9
20211127;2021-10-23;6;36;35;10;48;9
20222136;2022-12-11;14;44;34;25;4;7
20211064;2021-05-29;32;4;36;44;9;3
20211120;2021-06-10;44;34;20;8;41;2
20222133;2022-05-11;40;6;38;23;32;10
20211062;2021-05-24;11;44;47;29;7;9
20211118;2021-02-10;6;46;35;20;8;9
20222131;2022-10-31;34;25;45;44;4;7
20211057;2021-12-05;19;11;22;36;9;1
20211114;2021-09-22;5;40;13;14;9;1
20222130;2022-10-29;33;28;48;44;26;4
20211052;2021-01-05;27;25;5;34;38;7
20211109;2021-11-09;5;3;49;33;15;8
20222125;2022-10-17;38;49;20;16;40;2
20211051;2021-04-28;4;15;10;49;12;6
20211103;2021-08-28;48;43;46;11;8;9
20222123;2022-12-10;17;44;7;40;39;3
20211050;2021-04-26;2;34;41;32;8;6
20211102;2021-08-25;19;9;29;26;3;8
20222108;2022-07-09;20;35;30;3;29;9
20211048;2021-04-21;45;31;6;49;39;4
20211101;2021-08-23;13;22;31;11;21;6
20222107;2022-05-09;5;1;35;27;40;4
20211047;2021-04-19;49;17;36;44;27;1
20211100;2021-08-21;46;8;2;19;29;2
20222105;2022-08-31;9;39;10;15;45;7
20211046;2021-04-17;38;37;17;34;30;1
20211099;2021-08-18;4;7;12;24;25;2
20222104;2022-08-29;5;10;28;34;22;4
20211044;2021-12-04;43;14;26;7;11;7
20211098;2021-08-16;22;27;13;10;49;4
20222102;2022-08-24;39;42;36;27;22;10
20211043;2021-10-04;9;35;15;8;4;8
20211096;2021-11-08;43;13;21;5;6;4
20222100;2022-08-20;21;38;17;1;46;2
20211042;2021-07-04;35;19;9;16;43;4
20211095;2021-09-08;37;43;45;28;38;3
20222098;2022-08-15;34;4;48;42;22;3
20211041;2021-05-04;32;22;2;12;15;8
20211093;2021-04-08;21;36;22;20;44;10
20222090;2022-07-27;13;43;31;47;46;10
20211039;2021-03-31;2;27;24;35;22;5
20211092;2021-02-08;24;44;46;42;7;2
20222086;2022-07-18;18;29;49;37;5;8
20211038;2021-03-29;41;28;18;13;38;1
20211089;2021-07-26;42;5;34;21;37;10
20222084;2022-07-13;30;48;7;31;46;3
20211035;2021-03-22;15;6;34;39;24;4
20211083;2021-12-07;38;31;8;37;30;1
20222083;2022-11-07;10;5;49;47;1;1
20211034;2021-03-20;42;18;14;4;27;3
20211078;2021-06-30;8;44;6;48;31;9
20222082;2022-09-07;37;24;34;9;8;2
20211032;2021-03-15;29;38;33;15;41;2
20211072;2021-06-16;22;23;35;46;3;9
20222079;2022-02-07;32;20;22;46;34;9
20211028;2021-06-03;11;22;3;13;30;8
20211068;2021-07-06;6;28;34;7;11;8
20222078;2022-06-29;16;47;43;24;26;9
20211024;2021-02-24;47;18;41;10;19;2
20211067;2021-05-06;45;16;6;37;25;9
20222074;2022-06-20;27;47;23;48;14;3
20211017;2021-08-02;19;10;9;29;5;8
20211066;2021-02-06;33;34;25;3;26;6
