PAYS,CAPITALE,CONTINENT,POPULATION
Açores,Ponta Delgada,Europe,245283
Afganistan,Kaboul,Asie,32564342
Afrique du sud,Prétoria,Afrique,54956900
Albanie,Tirana,Europe,3063320
Algérie,Alger,Afrique,41098166
Allemagne,Berlin,Europe,82801531
Andorre,Andorre La Vieille,Europe,77281
Angola,Luanda,Afrique,25789024
Anguilla,The Valley,Amérique du Nord,17087
Antigua-et-Barbuda,Saint-Jean,Amérique du Nord,100963
Arabie Saoudite,Riyad,Asie,30147935
Argentine,Buenos Aires,Amérique du Sud,43590400
Arménie,Erevan,Europe,3060631
Aruba,Oranjestad,Amérique du Nord,115120
Australie,Canberra,Australie,24000300
Autriche,Vienne,Europe,8711500
Azerbaidjan,Bakou,Europe,9762274
Bahamas,Nassau,Amérique du Nord,391232
Bahrein,Manama,Asie,1314089
Brunei,Bandar Seri Begawan,Asie,450565
Bangladesh,Dacca,Asie,190656900
Barbade,Bridgetown,Amérique du Nord,284996
Belgique,Bruxelles,Europe,11289853
Bélize,Belmopan,Amérique du Nord,366954
Bénin,Porto Novo,Afrique,10160556
Bhoutan,Thimphou,Asie,797765
Biélorussie,Minsk,Europe,9498700
Bolivie,Sucre,Amérique du Sud,10800882
Bosnie-Herzégovine,Sarajevo,Europe,3836377
Botswana,Gaborone,Afrique,2155784
Brésil,Brasilia,Amérique du Sud,206977000
Bulgarie,Sofia,Europe,7153784
Burkina Fasso,Ouagadougou,Afrique,17322796
Burundi,Bujumbura,Afrique,9420248
Cambodge,Phnom Penh,Asie,15458332
Caméroun,Yaoundé,Afrique,23739218
Canada,Ottawa,Amérique du Nord,36155487
Cap Vert,Praïa,Afrique,538000
Centre-Afrique,Bangui,Afrique,5277959
Chili,Santiago,Amérique du Sud,17909754
Chine,Pékin,Asie,1408089559
Chypre,Nicosie,Europe,1186421
Colombie,Bogota,Amérique du Sud,48529500
Comores,Moroni,Afrique,795601
Congo,Brazzaville,Afrique,4662446
Corée du Nord,Pyongyang,Asie,24851627
Corée du Sud,Séoul,Asie,51541582
Costa Rica,San José,Amérique du Nord,4947490
Côte d'Ivoire,Yamoussoukro,Afrique,22671331
Croatie,Zagreb,Europe,4190669
Cuba,La Havane,Amérique du Nord,11475982
Danemark,Copenhage,Europe,5707251
Djibouti,Djibouti,Afrique,942333
Dominique,Roseau,Amérique du Nord,73543
Egypte,Le Caire,Afrique,90416900
El Salvador,San Salvador,Amérique du Nord,6125512
Emirats arabes unis,Abu Dhabi,Asie,9157000
Equateur,Quito,Amérique du Sud,15445691
Erythrée,Asmera,Afrique,6380803
Espagne,Madrid,Europe,46438422
Estonie,Tallinn,Europe,1315944
Eswatini,Mbabane,Afrique,1419623
